/media/sunyu/OS1/suanli/collectionunzip/anonymous_71
obj                 |bestobj             |time                |
700657.054          |700657.054          |7.031               |INIT
625638.097          |625638.097          |15.100              |KS2
473498.542          |473498.542          |16.550              |KS2
341298.087          |341298.087          |37.478              |KS2
308454.632          |308454.632          |38.032              |lns
308214.783          |308214.783          |38.866              |lns
307138.640          |307138.640          |45.423              |lns
271729.274          |271729.274          |63.430              |lns
243620.711          |243620.711          |105.441             |lns
242237.454          |242237.454          |126.492             |lns
239954.078          |239954.078          |147.601             |lns2
239110.409          |239110.409          |179.612             |lns
239110.399          |239110.399          |190.272             |lns
197577.548          |197577.548          |209.545             |lns
197559.964          |197559.964          |227.727             |lns2
197533.295          |197533.295          |245.937             |lns
197533.075          |197533.075          |286.600             |lns
197497.336          |197497.336          |289.943             |lns
197471.184          |197471.184          |293.965             |lns2
197321.846          |197321.846          |305.779             |lns
196663.011          |196663.011          |329.677             |lns
195607.302          |195607.302          |344.825             |lns2
195607.212          |195607.212          |357.790             |lns
195569.131          |195569.131          |367.638             |lns2
195569.131          |195569.131          |383.467             |random
195569.131          |195569.131          |386.706             |random
195569.001          |195569.001          |390.728             |lns2
195217.288          |195217.288          |423.029             |lns2
169715.739          |169715.739          |465.462             |lns
169715.739          |169715.739          |488.378             |random
168613.616          |168613.616          |503.533             |lns
97732.962           |97732.962           |529.388             |lns
97732.932           |97732.932           |546.464             |lns
95895.986           |95895.986           |560.824             |lns2
94360.827           |94360.827           |618.423             |lns2
89095.371           |89095.371           |639.883             |lns
85493.658           |85493.658           |671.121             |lns
85408.680           |85408.680           |680.636             |lns
68506.013           |68506.013           |715.603             |lns
58945.639           |58945.639           |740.112             |lns
56197.989           |56197.989           |771.515             |lns
56197.979           |56197.979           |797.459             |lns2
56197.939           |56197.939           |834.261             |lns
56197.929           |56197.929           |848.905             |lns
56197.929           |56197.929           |862.945             |random
56143.390           |56143.390           |884.624             |lns2
54245.195           |54245.195           |906.714             |lns
52167.245           |52167.245           |919.427             |lns2
52167.245           |52167.245           |961.828             |random
52167.245           |52167.245           |988.703             |random
52167.225           |52167.225           |1000.017            |lns
total time : 1000.0173976421356
