/media/sunyu/OS1/suanli/collectionunzip/anonymous_71
obj                 |bestobj             |time                |
938206.925          |938206.925          |2.168               |KS1
938206.925          |938206.925          |2.482               |KS2
881741.382          |881741.382          |3.016               |KS2
853766.902          |853766.902          |6.692               |KS2
486787.293          |486787.293          |7.795               |KS2
485584.868          |485584.868          |12.346              |lns
485291.302          |485291.302          |15.667              |lns
419276.856          |419276.856          |28.903              |lns
125677.771          |125677.771          |64.831              |lns
103329.043          |103329.043          |107.980             |lns
94181.609           |94181.609           |126.008             |lns2
77623.808           |77623.808           |141.661             |lns
77451.948           |77451.948           |151.470             |lns
60488.909           |60488.909           |211.133             |lns
60317.460           |60317.460           |239.120             |lns2
58239.539           |58239.539           |280.997             |lns2
53932.118           |53932.118           |314.400             |lns
52167.235           |52167.235           |325.969             |lns
52167.225           |52167.225           |336.383             |lns
52167.215           |52167.215           |356.077             |lns2
52167.215           |52167.215           |374.970             |random
52167.215           |52167.215           |395.813             |random
52167.215           |52167.215           |446.517             |random
52167.215           |52167.215           |543.298             |random
52167.215           |52167.215           |765.471             |random
52167.215           |52167.215           |772.528             |random
52167.205           |52167.205           |792.928             |lns2
total time : 999.5046677589417
