/media/sunyu/OS1/suanli/collectionunzip/opm2-z10-s4
obj                 |bestobj             |time                |
0.000               |0.000               |0.329               |init
-1509.000           |-1509.000           |0.697               |KS2
-3138.000           |-3138.000           |1.073               |KS2
-4809.000           |-4809.000           |1.465               |KS2
-7017.000           |-7017.000           |1.864               |KS2
-8606.000           |-8606.000           |2.276               |KS2
-8942.000           |-8942.000           |3.067               |lns
-9030.000           |-9030.000           |3.435               |lns
-9341.000           |-9341.000           |4.173               |lns
-9442.000           |-9442.000           |4.549               |lns
-9717.000           |-9717.000           |5.286               |lns
-9894.000           |-9894.000           |5.658               |lns
-11969.000          |-11969.000          |6.402               |lns
-13103.000          |-13103.000          |6.807               |lns
-13574.000          |-13574.000          |7.617               |lns
-14529.000          |-14529.000          |7.992               |lns
-15120.000          |-15120.000          |8.768               |lns
-28741.000          |-28741.000          |19.921              |lns
-28797.000          |-28797.000          |34.808              |lns
-28820.000          |-28820.000          |56.070              |lns
-28887.000          |-28887.000          |212.576             |lns2
-28889.000          |-28889.000          |214.319             |lns
-28893.000          |-28893.000          |280.926             |lns2
-28894.000          |-28894.000          |283.196             |lns
-28895.000          |-28895.000          |283.578             |lns
-28906.000          |-28906.000          |350.983             |lns2
-28911.000          |-28911.000          |352.130             |lns
-28922.000          |-28922.000          |418.902             |lns2
-28934.000          |-28934.000          |420.105             |lns
-28940.000          |-28940.000          |421.253             |lns
-28960.000          |-28960.000          |656.613             |lns2
-29093.000          |-29093.000          |657.401             |random
-29123.000          |-29123.000          |657.734             |lns
-29267.000          |-29267.000          |658.552             |lns
-29408.000          |-29408.000          |659.279             |lns
-29409.000          |-29409.000          |726.167             |lns2
-29410.000          |-29410.000          |794.071             |lns2
-29543.000          |-29543.000          |794.414             |random
-29548.000          |-29548.000          |794.788             |lns
-29643.000          |-29643.000          |859.872             |lns2
-29756.000          |-29756.000          |928.352             |lns2
total time : 994.5901784896851
